current_zone_idx,total_frames,avg_speed,crash_count,crash_rate
119.0,474,215.50859,0,0.0
120.0,52,215.6066,0,0.0
121.0,480,217.82465,0,0.0
122.0,53,217.98758,0,0.0
123.0,323,220.06503,0,0.0
124.0,72,219.80531,0,0.0
125.0,470,221.15529,0,0.0
126.0,185,222.02097,0,0.0
127.0,45,223.06133,0,0.0
128.0,402,224.19604,0,0.0
129.0,175,224.81651,0,0.0
130.0,59,225.8391,0,0.0
131.0,412,226.23026,0,0.0
132.0,291,226.02907,0,0.0
133.0,161,227.99124,0,0.0
134.0,62,230.29297,0,0.0
135.0,351,228.54134,0,0.0
136.0,327,229.56857,0,0.0
137.0,75,231.91417,0,0.0
138.0,348,230.98682,0,0.0
139.0,179,231.68782,0,0.0
140.0,87,234.49452,0,0.0
141.0,352,232.52284,0,0.0
142.0,257,233.18758,0,0.0
143.0,101,234.8317,0,0.0
144.0,366,234.20934,0,0.0
145.0,69,237.0653,0,0.0
146.0,402,235.20694,0,0.0
147.0,81,237.99313,0,0.0
148.0,721,138.28047,297,41.19278779472954
149.0,88,236.37628,0,0.0
150.0,155,234.0502,0,0.0
151.0,559,172.74396,153,27.370304114490164
152.0,166,237.7805,0,0.0
153.0,152,235.0738,0,0.0
154.0,320,238.39302,0,0.0
155.0,141,234.99684,0,0.0
156.0,336,240.32831,0,0.0
157.0,150,236.16995,0,0.0
158.0,332,241.7909,0,0.0
159.0,147,234.0257,0,0.0
160.0,261,240.82823,0,0.0
161.0,209,238.94109,0,0.0
162.0,314,244.4212,0,0.0
163.0,196,238.91159,0,0.0
164.0,211,235.64236,0,0.0
165.0,272,243.01697,0,0.0
166.0,234,240.72678,0,0.0
167.0,273,238.84274,0,0.0
168.0,244,248.76407,0,0.0
169.0,279,200.85013,43,15.412186379928317
170.0,241,248.29013,0,0.0
171.0,1738,44.412464,1375,79.11392405063292
172.0,232,251.80518,0,0.0
173.0,200,246.07477,4,2.0
174.0,1035,93.69434,564,54.492753623188406
175.0,186,251.24107,0,0.0
176.0,261,244.80707,0,0.0
177.0,574,144.13841,226,39.37282229965157
178.0,149,252.43417,0,0.0
179.0,943,109.08356,497,52.70413573700954
180.0,113,251.42891,0,0.0
181.0,473,206.81409,28,5.9196617336152215
182.0,254,201.32414,22,8.661417322834646
183.0,113,250.82878,0,0.0
184.0,1967,78.6228,1289,65.53126588713776
185.0,108,252.7946,0,0.0
