current_zone_idx,transitions,regressions,regression_rate
231.0,35,0,0.0
232.0,34,0,0.0
233.0,48,0,0.0
234.0,37,0,0.0
235.0,35,0,0.0
236.0,38,0,0.0
237.0,34,0,0.0
238.0,42,0,0.0
239.0,46,0,0.0
240.0,35,0,0.0
241.0,42,0,0.0
242.0,31,0,0.0
243.0,39,0,0.0
244.0,39,0,0.0
245.0,29,0,0.0
246.0,39,0,0.0
247.0,37,0,0.0
248.0,33,0,0.0
249.0,56,0,0.0
250.0,36,0,0.0
251.0,32,0,0.0
252.0,39,0,0.0
253.0,33,0,0.0
254.0,45,0,0.0
255.0,41,0,0.0
256.0,29,0,0.0
257.0,39,0,0.0
258.0,35,0,0.0
259.0,30,0,0.0
260.0,40,0,0.0
261.0,30,0,0.0
262.0,39,0,0.0
263.0,31,0,0.0
264.0,42,0,0.0
265.0,43,0,0.0
266.0,26,0,0.0
267.0,43,0,0.0
268.0,31,0,0.0
269.0,33,0,0.0
270.0,41,0,0.0
271.0,32,0,0.0
272.0,32,0,0.0
273.0,43,0,0.0
274.0,27,0,0.0
275.0,33,0,0.0
276.0,34,0,0.0
277.0,37,0,0.0
278.0,30,0,0.0
279.0,37,0,0.0
280.0,42,0,0.0
281.0,36,0,0.0
282.0,29,0,0.0
283.0,39,0,0.0
284.0,31,0,0.0
285.0,36,0,0.0
286.0,37,0,0.0
287.0,33,0,0.0
288.0,33,0,0.0
289.0,33,0,0.0
290.0,38,0,0.0
291.0,34,0,0.0
292.0,35,0,0.0
293.0,35,0,0.0
294.0,33,0,0.0
295.0,41,0,0.0
296.0,32,0,0.0
297.0,34,0,0.0
298.0,37,0,0.0
299.0,35,0,0.0
300.0,35,0,0.0
301.0,40,0,0.0
302.0,36,0,0.0
303.0,37,0,0.0
304.0,39,0,0.0
305.0,31,0,0.0
306.0,39,0,0.0
307.0,33,0,0.0
308.0,43,0,0.0
309.0,30,0,0.0
310.0,41,0,0.0
311.0,34,0,0.0
312.0,34,0,0.0
313.0,38,0,0.0
314.0,29,0,0.0
315.0,42,0,0.0
316.0,29,0,0.0
317.0,43,0,0.0
318.0,33,0,0.0
319.0,31,0,0.0
320.0,37,0,0.0
321.0,29,0,0.0
322.0,40,0,0.0
323.0,29,0,0.0
324.0,34,0,0.0
325.0,34,0,0.0
326.0,36,0,0.0
327.0,41,0,0.0
328.0,36,0,0.0
329.0,39,0,0.0
330.0,35,0,0.0
331.0,36,0,0.0
332.0,36,0,0.0
333.0,44,0,0.0
334.0,40,0,0.0
335.0,31,0,0.0
336.0,43,0,0.0
337.0,29,0,0.0
338.0,42,0,0.0
339.0,30,0,0.0
340.0,38,0,0.0
341.0,33,0,0.0
342.0,36,0,0.0
343.0,42,0,0.0
344.0,39,0,0.0
345.0,33,0,0.0
346.0,37,0,0.0
347.0,33,0,0.0
348.0,34,0,0.0
349.0,42,0,0.0
350.0,33,0,0.0
351.0,39,0,0.0
352.0,33,0,0.0
353.0,33,0,0.0
354.0,38,0,0.0
355.0,31,0,0.0
356.0,51,0,0.0
357.0,79,0,0.0
358.0,104,0,0.0
359.0,356,1,0.2808988764044944
360.0,391,4,1.0230179028132993
361.0,247,0,0.0
362.0,110,1,0.9090909090909091
363.0,63,0,0.0
364.0,76,0,0.0
365.0,58,0,0.0
366.0,58,0,0.0
367.0,55,0,0.0
368.0,55,0,0.0
369.0,49,0,0.0
370.0,52,0,0.0
371.0,48,0,0.0
372.0,52,0,0.0
373.0,40,0,0.0
374.0,51,0,0.0
375.0,46,0,0.0
376.0,49,0,0.0
377.0,41,0,0.0
378.0,50,0,0.0
379.0,43,0,0.0
380.0,45,0,0.0
381.0,44,0,0.0
382.0,45,0,0.0
383.0,44,0,0.0
384.0,45,0,0.0
385.0,38,0,0.0
386.0,45,0,0.0
387.0,41,0,0.0
388.0,47,0,0.0
389.0,37,0,0.0
390.0,45,0,0.0
391.0,41,0,0.0
392.0,45,0,0.0
393.0,42,0,0.0
394.0,39,0,0.0
395.0,43,0,0.0
396.0,43,0,0.0
397.0,38,0,0.0
398.0,44,0,0.0
399.0,40,0,0.0
400.0,43,0,0.0
401.0,38,0,0.0
402.0,45,0,0.0
403.0,39,0,0.0
404.0,42,0,0.0
405.0,38,0,0.0
406.0,44,0,0.0
407.0,40,0,0.0
408.0,42,0,0.0
